,Content
345,"Mona Singh will share screen space with Aamir Khan for the second time in Laal Singh Chaddha. The actress had earlier featured alongside the superstar in the 2009 blockbuster 3 Idiots. She called him a “great guy” to work with, adding that he is “the biggest prankster” she has ever met.“My first film with Aamir sir was 3 Idiots. I still remember how nervous I was to shoot with him. Especially the baby delivery sequence. I was the only female in the room full of men while shooting that sequence of giving birth to the baby,” Mona said."
346,"Saaniya Sharma holed five birdies against three bogeys for the day’s best card of two-under 70 on the first day of the fifth leg of the Hero Women’s Pro Golf Tour here on Wednesday.Saaniya’s best finish this season has been T-12 but in the first round at Gurugram she shot her best round of the year. It gave her a one-shot lead over the trio of experienced Tvesa Malik and the Bakshi sisters, Hitaashee and Jahanvi. They carded 1-under 71 each at the challenging Gary Player layout."
347,"Barcelona will be looking to overturn a massive first leg deficit when they take on PSG at Parc des Princes in the UEFA Champions League Round of 16.PSG have been in good touch in the recent weeks – they have won eight of their last nine games across all competitions, including the first leg win against Barcelona. They won their first leg match with a margin of 4-1 at the Camp Nou where Kylian Mbappe netted a hat-trick. The French champions have managed to keep clean sheets in their last three games and this will keep them in great shape."
348,"Meghan Markle filed a formal complaint with British broadcaster ITV, after a presenter criticised her claims against the royal family and later quit.Piers Morgan left his role as host of Good Morning Britain on Tuesday following a scathing attack on the Duchess of Sussex’s interview with US chatshow host Oprah Winfrey."
349,"Actor Sonu Sood has gifted a rifle to Dhanbad’s Konica Layak, a state-level rifle shooting champion who was unable to practice for the upcoming East Zone Shooting Championship because she did not have a rifle. Konica will be representing her state in the championship.Last year, Layak won at the 11th Jharkhand State Rifle Shooting Championship. However, she had to borrow a rifle to practice her sport and, eventually, win a gold medal in the 50m Rifle category and a silver medal in the 50m Rifle Prone final."
350,"Many passengers lose their luggage, mobile phones, laptops and other belongings to thieves and pickpockets while traveling on Indian railways. Most of these lost or stolen items are never retrieved, despite complaints. But that seemed to change for many in Mumbai after the Government Railway Police (GRP) returned stolen laptops, phones, and cash which have a collective value of Rs 14 lakh to their rightful owners on Monday. The items were returned to the owners in an event to mark International Women’s Day. The event also saw 34 other passengers getting back their stolen belongings.Among those reunited with their goods was a retired businessman Suresh Savaliya, who had given up hope of getting his 22 grams of gold chain that was stolen along with his handbag during one of his journies in 2007. Much to his surprise, 14 years after the theft, the railway police handed over his gold ornament at the event. The GRP, after years of search for the accused and the jeweler who brought the stolen gold, were successful in retrieving the precious metal that had been melted and turned into a gold biscuit. It was eventually recovered and returned to its rightful owner."
351,"Superstar Shah Rukh Khans daughter Suhana has shared a gorgeous mirror selfie on Instagram stories in an all-white ensemble. In the image, Suhana is seen wearing an off-white blouse. She completed her look with dewy make-up, red lips, and chunky hoop earring, with her hair tied back."
352,"New Delhi: The Union Cabinet on Wednesday gave its nod for amendments in the Insurance Act, paving way for 74 per cent foreign direct investment in the sector. Currently, the permissible FDI limit in the life and general insurance stands at 49 per cent with ownership and management control with Indian.According to sources, the Cabinet in its meeting has approval for amendments in the Insurance Act, 1938. Finance Minister Nirmala Sitharaman in Budget 2021-22 said, “I propose to amend the Insurance Act, 1938 to increase the permissible FDI limit from 49 per cent to 74 per cent in insurance companies and allow foreign ownership and control with safeguards.” Under the new structure, the majority of directors on the board and key management persons would be resident Indians, with at least 50 per cent of directors being independent directors, and specified percentage of profits being retained as a general reserve."
353,"A team of civic officials was allegedly assaulted by four men when they went to remove an illegal cricket turf in the western suburb of Borivali here, police said on Wednesday. The incident took place on Tuesday when a team from the Brihanmumbai Municipal Corporation’s (BMC) R Central ward went to Saibaba Nagar locality to demolish the illegal sports set-up, an official said.On the basis of a complaint, sub-engineer Anand Adhav along with other officials took JCB machines to the ground to remove the turf, he said. However, as the civic officials started taking action, one Kunal Kelkar reached the scene with three of his associates to stop them, claiming ownership of the ground, he said."
354,"Singer Neha Kakker took to Instagram on Wednesday, to share the first look of celebrity couple Rubina Dilaik and Abhinav Shukla’s new music video Marjaneya. The news was also shared by Rubina and Abhinav on their Instagram profiles. The music video will release on March 18. In the first look, Abhinav sports a blue and pink printed shirt with cream shorts, while Rubina stuns in an orange bikini top and sarong skirt. Neha wrote on Wednesday: “Ahem ahem… Ladies and Ladies I assure you, you’re all gonna love this one! #Marjaneya.”“Super excited to announce our #first feat @ashukla09 in @nehakakkar ‘s #marjaneya,” Rubina posted. Abhinav wrote: “Your Punjabi munda in Marjaneya, with @rubinadilaik… @nehakakkar @babbu11111 @desimusicfactory @anshul300 @raghav.sharma.14661 @iamrajatnagpal @irajanbir.”"
355,"A woman in Bengaluru has alleged that she was attacked by a Zomato delivery man on Tuesday while bringing the order. The woman, Hitesha Chandranee is a make-up artist shared the videos of social media after the attack.The video shows her nasal bone being damaged and she claimed to have undergo surgery. The incident occurred in the Electronic City on March 9 afternoon. "
356,"On March 9, Jimmy Fallon kicked off a hilarious Twitter thread with the hashtag #MyFamilyIsWeird by asking his followers to tweet out funny, weird or embarrassing things a family member has done or said. In another tweet, The Tonight Show host too shared a humorous story and revealed that his friend’s family used to send out Christmas cards with everyone’s height and weight details on it.It's Hashtags time! Tweet out a funny, weird, or embarrassing thing a family member has done or said, and tag it with #MyFamilyIsWeird. Could be on the show!— jimmy fallon (@jimmyfallon) March 8, 2021"
357,"There are reports suggesting that actor Sharad Malhotra, who was last seen in Ekta Kapoor’s Naagin 5, has been approached for the upcoming season of Fear Factor: Khatron Ke Khiladi. However, there is no official confirmation on the same.Sharad was paired opposite actress Surbhi Chandna in Naagin 5. It was the duo’s first collaboration and their chemistry was hit among the viewers. The supernatural show went off air in February after running for a period of six months."
358,"YouTube today announced that it will soon start deducting taxes from all creators outside of US on the earnings they generate from viewers in the United States. The new policy will begin from as early as June 2021, YouTube told creators in an email. In order to determine the correct amount of taxes to deduct, YouTube has also asked creators to submit their tax information in Google AdSense.YouTube, in its support page said that under the Chapter 3 of the US Internal Revenue Code, it is the responsibility of Google to collect tax information, withhold taxes, and report to the Internal Revenue Services (IRS) when a creator earns royalty revenue from viewers in the US. YouTube has asked creators to update their information in their AdSense account as early as possible. The company said if a creator is not able to submit their information by May 31, may face a 24 percent deductions in their total earnings worldwide."
359,"International Olympic Committee president Thomas Bach promised to deliver a “safe, secure” Tokyo Olympics this year as he was re-elected for a second term on Wednesday.As he opened the IOC Session, Bach said it was no longer a question of whether the Olympics, which were postponed last year as the coronavirus pandemic spread around the globe, would take place but in what conditions they will be held."
360,"Bollywood superstar Salman Khan has a packed schedule as he has been continuously shooting for different projects. The actor recently shot for his cameo in the upcoming Shah Rukh Khan film Pathan. Now, Salman was photographed outside a studio as he began shooting for Tiger 3 with Katrina Kaif. Bollywood paparazzo Viral Bhayani took to Instagram to share snaps of Salman and Katrina."
361,"Football’s greatest living legend, Pele, could add another to his long list of accolades: the Rio de Janeiro state legislature has voted to rename Brazil’s iconic Maracana stadium for him.Lawmakers voted Tuesday to change the stadium’s official name to “Edson Arantes do Nascimento – Rei Pele” — the three-time world champion’s full name, plus “King Pele,” his nickname."
362,"For the second consecutive day, BJP MLA Basanagouda Patil Yatnal raised the issue of reservation demand by Panchamasali Lingayats and taken up for discussion on Wednesday. The member, who is also a key leader demanding the reservation, expressed disappointment over the government’s response to their demands.Panchamasalis are a subsect of the Lingayat community and the sect members including seers have been demanding they be categorised under 2A which would give the community 15% reservation in education and jobs. Now they are under 3B category which provides 5% reservation."
363,"Prime Minister Narendra Modi on Wednesday had a telephonic conversation with Saudi Arabia’s Crown Prince Mohammed bin Salman bin Abdulaziz Al Saud.They reviewed functioning of bilateral Strategic Partnership Council established in 2019 and expressed satisfaction about steady growth in India-Saudi partnership, said the Prime Minister’s Office."
364,"The government on Wednesday said it has decided to admit girl cadets in all Sainik schools across the country from the academic session 2021-22. At present, 33 Sainik schools are operating in the country. ”After the success of pilot Project for admission of girl cadets in Sainik School Chhingchhip, Mizoram, in the academic session 2018-19, the government has decided to admit girl cadets along with boys in all Sainik Schools from the academic session 2021-22,” Minister of State for Defence Shripad Naik said in Lok Sabha.He also said the government is proposing to bring a new scheme for setting up Sainik schools in the country in partnership with NGOs, private schools and state governments. ”The endeavour is to provide schooling opportunities in ’CBSE Plus’ type of educational environment by involving desirous government/private schools/NGOs to partner in establishing/aligning their system with Sainik schools ethos, value system and national pride,” Naik said in a written reply."
365,"Bharat bandh or nationwide shutdown will be observed by Samyukta Kisan Morcha March 26, on completion of four months of farmers’ protest at Delhi borders. The union has planned several protests over the days, which includes “burning of anti-farmer laws during Holika Dehan”.“We will observe a complete Bharat bandh on March 26, when our protest against the three farm laws completes four months. The peaceful bandh will remain effective from morning till evening,” farmer leader Buta Singh Burjgill told reporters at the Singhu border."
366,"A viral video that is taking the internet by storm shows how a Bengaluru woman was left bleeding from her nose after she was attacked by a Zomato delivery man. The woman, Hitesha Chandranee is a make-up artist and she alleged on Tuesday that the man hit her so hard, that she sustained a nose injury. The viral video was shared on different social media platforms by Hitesha, where she is seen having a breakdown while narrating her story, The incident occurred in the Electronic City on March 9 afternoon and a police complaint has been filed as well. "
367,"Maharashtra Chief Minister Uddhav Thackeray on Wednesday said the guilty in the Mansukh Hiran death case will be punished, but police officer Sachin Vaze should not be targeted until his alleged involvement is established. Facing heat over Assistant Police Inspector Vaze’s alleged link to Hiran’s mysterious death, the government earlier in the day announced his transfer from the Mumbai crime branch.Hiran, who was in possession of the vehicle which was later found with explosives outside residence of industrialist Mukesh Ambani, was found dead in a creek in Thane last week. His wife has made allegations against Vaze in her statement."
368,"Shocking findings of a survey on women’s safety conducted in the United Kingdom found that almost every young woman in the UK has been sexually harassed or molested. The survey conducted by UN Women UK found that in the age group of 18-24 years, 97 per cent of women said that they had faced sexual harassment. As many as 80 per cent of women across all ages said they had been sexually harassed in public places. While younger women faced sexual harassment and objectification on a regular basis, even older respondents of the survey claimed they felt scared to venture out after dark or even during the day in winter for fear of being harassed.According to a report in The Guardian, the YouGov survey recorded the experiences of 1,000 women. The findings not only reveal the grave sexual harassment statistics of British women but also the growing disenchantment and loss of faith in the justice system."
369,"Actress Kareena Kapoor Khan, who along with husband Saif Ali Khan, recently welcomed her second son, took to Instagram to debut a new hairstlye. The new mom also took the moment to say that she was ready for more burp cloths and diapers to take care of her baby. Kareena shared the sunkissed picture which has around 6 lakh likes. Kareena looked stunning in the shorter, more crisp haircut. She also thanked celebrity stylist Yianni Tsapatori for the new look. "
370,"Former Manchester United midfielder Darren Fletcher has been named as the club’s first technical director, with John Murtough promoted to the role of football director, the Premier League club announced on Wednesday.United said the two new roles would “further strengthen the club’s football operations” after years of speculation over the absence of a director of football at Old Trafford."
371,"Drawing young and old, this is a Mahashivratri party that one should not miss at any cost. The host will keep you dancing the whole night and leave you blissed out the next morning. The magic of Mahashivratri beckons. The Adiyogi standing tall at 112 feet at the Isha Yoga centre at Coimbatore, and the sprawling grounds in front of him, are getting decked up for the big night of Mahashivratri on March 11. If not for the virus, these grounds would have echoed the crazy countdown to the event by now. This year, abiding by the Covid-19 restrictions, the event is open to a limited audience only. But the fun is spilling out in the virtual world like never before. "
372,"Bharat Biotech’s Covid-19 vaccine Covaxin can be granted Emergency Use Approval, Drug regulator’s Subject Expert Committee (SEC) recommended on Wednesday.Covaxin can be taken off clinical trial mode, a subject expert committee that has been monitoring the development has recommended DCGI, which will take a final call on the matter. If Covaxin is not administered under the clinical trial mode, people will not be asked to sign the consent form to take the vaccine. The removal of the clinical trial mode would mean a great deal for Covaxin, which has so far struggled with acceptance beneficiaries and states like Chhattisgarh, Kerala and Punjab."
373,"The UEFA Champions League will see Barcelona host Paris Saint-Germain in a round-of-16 clash. This match will take place at the Parc des Princes. In the first round, Paris Saint-Germain handed a hiding to Barcelona and this will be the match where the Catalans will have to be at their absolute best.In the recent past, Barcelona have seen a massive resurgence and they will come into this match brimming with confidence. They defeated Sevilla with a brilliant comeback in the Copa del Rey and this is what, will give them a lot of hope."
374,"RB Leipzig will be locking horns with Liverpool and they would want to overturn their 2-0 deficit in the second leg of their UEFA Champions League Round of 16 tie. Owing to Covid-19 restriction, the venue of this match between Liverpool and RB Leipzig will take place at Budapest instead of Anfield.Liverpool have been on a downward slide for quite a while now – they have been ravaged by injuries and results have not gone in their favour. The Reds have lost all of their last six home games and this game will give them some hope to overturn their fortunes."
375,"Manchester City will lock horns with Southampton in the Premier League and they will be aiming to bounce back after their defeat against Manchester United. City were taken down 2-0 at the Etihad by Manchester United on Sunday and this ended their 21-game winning streak across all competitions.However, Pep Guardiola’s side will go into the match with a 11-point lead at the top of the table and this will be the match when they would want to go back to winning ways."
376,"Atletico Madrid will lock horns with Athletic Bilbao in what will be an important clash at the Estadio Wanda Metropolitano on Wednesday. Both the sides will come into this match with the hopes that they have the personnel to win this match.Athletic Bilbao enter this match in the eighth spot in La Liga at the moment, but they have found some great form under Marcelino. They will enter this match after an impressive win against Granada 2-1 victory in their previous game."
377,"Defending her decision to pick Nandigram instead of Bhawanipur to contest the upcoming Assembly polls, West Bengal Chief Minister Mamata Banerjee said that the ‘love and support’ of people in her home constituency is always there but her nomination from Nandigram is a tribute to the farmers who sacrificed their lives during the anti-land acquisition movement in 2007.Speaking to the media persons after filing the nomination in Haldia, Mamata said: “The farmers’ movement was built up from Nandigram and Singur. Many people were killed while many are still missing. My decision to contest from Nandigram should be considered as tribute to those who sacrificed their lives during farmers’ movement.”"
378,"Namibia’s First Lady, Monica Geingos, slammed the Internet trolls in a powerful message on International Women’s Day as she took on those who she said have hurled insults at her on social media. “I’ve decided that enough is enough… I will not be silenced anymore,” Geingos said in a video posted on social media Monday. “I recently instituted defamation lawsuit against this type of behavior..,” she added Geingos,44, said she has been “slut-shamed” and “body-shamed” on social media with bullies labelling her as “fat, ugly, stupid and too ambitious”.She is the third wife of Namibian President Hage Geingob, 79 and have been married since 2015, CNN reported."
379,"In a video that is now going viral on social media, the plight of one Uber driver is highlighted as he is harassed by three women who are not wearing a face mask. The incident took place in the United States where an Uber driver denied a ride to three women after they failed to comply with pandemic prevention rules of wearing a face mask.The footage recorded by Uber driver Subhakar Khadka’s dash camera showed how one of the women sitting right behind him jumped at him and tried to take off his mask that eventually broke off and even coughed at him. According to a report by KPIX 5, the footage was shot on Sunday afternoon and according to San Francisco police, one of the women even sprayed what is believed to be pepper spray into the vehicle and towards the driver after leaving the vehicle."
380,"Young midfielder Hitesh Sharma has signed a two-year contract extension with Indian Super League (ISL) side Hyderabad FC, the club said on Wednesday. “I am really proud and happy to have signed this contract with Hyderabad FC,” said Hitesh.“I believe that we have the best players, the best management and the best coaches we can ask for at the club and I hope to continue the hard work for years to come,” he added."
381,"Celebrity sisters Gauahar Khan and Nigaar Khan lost their father Zafar Ahmed Khan last week. Gauahar and Nigaar took to social media to share the news of their father’s demise as they mourned his death.On Tuesday, Nigaar shared a heartwarming picture hugging her father on her Instagram Story. The former actress captioned the picture and expressed her wish to hold him like this just one more time. The 41-year-old actress had recently come to India for her sister Gauahar’s wedding that took place last year. Nigaar is settled in the United States with her husband Khayyam Shaikh."
382,"In a rare occurrence, a python breeder has managed to breed a very unique ball python snake. The one in question actually contains not one or two but three smiling emojis on its skin. Justin Kobylka, a snake breeder in the US has been rearing the ball pythons since the past 20 years but he says this is the first time he has seen something this unique. He has also sold the reptile for $6,000(Rs 4.37 Lakh).Justin said he was actually trying to achieve just the bright golden yellow and white color combination when this this lavender albino piebald ball python hatched. According to Justin, one in every 20 such reptiles can have a smiley face on their bodies but this is a first time for him. "
383,"With fashion and cosmetic retailer Nykaa’s latest funding round expected to close by end of this month, founder Falguni Nayar is likely to become India’s second billionaire woman entrepreneur after Biocon Chairperson Kiran Mazumdar Shaw, according to Forbes. The company is expected to go for an initial public offering (IPO) this year at a valuation of around $3 billion. Nykaa is expected to report a 40 per cent rise in revenue for this fiscal, up from $247 million in March 2020 due to the surge in online sales due to Covid-19. "
384,"Pep Guardiola says he may not be able to give Sergio Aguero much time on the pitch before his contract is due to end as Manchester City chase an unprecedented quadruple.The club’s record goalscorer, 32, is back in contention after a season ravaged by injury and illness but is short of match fitness and there is little opportunity for the City boss to ease him back into action."
385,"With just few weeks to go for assembly elections in Kerala, Congress leader from the state PC Chacko resigned from the party after writing a letter to Sonia Gandhi saying that it had become difficult to be a Congress leader in Kerala. Pointing to the fact that the Congress has not had a president for over a year, Chacko said that there was no democracy left in Congress and added that the candidate list was not discussed with the state Congress committee. "
386,"The Swimming Federation of India (SFI) has cancelled the upcoming Senior National Championship, which was to start on March 24 in Rajkot, after several states expressed their inability to send teams, said SFI secretary general Monal Chokshi on Wednesday.“State units in northern India as well as those from the North East have complained that swimming facilities were yet to open. Therefore, we have decided to cancel the national competition,” Chokshi told IANS"
387,"The Bombay High Court on Wednesday adjourned the hearing on a PIL seeking COVID-19 vaccination for lawyers and judges on priority, saying some decisions must be left to the “executive’s wisdom”. The court also said it was rather “selfish” of the petitioners to seek vaccination on priority for the judiciary.A bench of Chief Justice Dipankar Datta and Justice G S Kulkarni was hearing a plea filed by Mumbai-based lawyers, seeking that members of the judiciary, advocates and their staff be considered as frontline workers and they be provided vaccine against COVID-19 on a priority basis. The petitioners, advocates Vaishnavi Gholave and Yogesh Morbale, filed the plea last week through their counsels Vinod P Sangvikar and Yashodeep Deshmukh."
388,"In a major relief to Real Kashmir FC, the All India Football Federation has revoked a four-match suspension on its centre-back Mason Robertson which will allow him to lead the side in the I-League playoff clash against TRAU FC at Kalyani Stadium on Wednesday. Setting aside the AIFF Disciplinary Committee’s decision of four-match ban and Rs 2 lakh fine for abusing the referee in an earlier match, the Appeals Committee made the decision just ahead of the team’s second play-off fixture.In its decision, the AIFF Appeals Committee stated that the four-match suspension imposed upon the player “lacks justification and thereby stands annulled”. “The Committee further holds that the player’s action was a first time infraction and in no way can be said be severe enough to attract the provisions of Article 50.2(a) of the AIFF Disciplinary Code,” it stated."
389,"The University of Lucknow has started the admission process for undergraduate programmes and PhD programmes from March 9 onwards. The entire admission process is being conducted online by the varsity on its official website lkouniv.ac.in. The application process has already started and will continue till April 15 for PhD programmes. The applications for UG programmes will be accepted till April 20.  The last date to submit the application with late fee is April 22 for PhD and April 27 for UG courses.Candidates seeking admissions to UG courses in the faculties of arts, commerce, law, science, and fine arts will be admitted on the basis of marks obtained in the Undergraduate Entrance Test (UGET) conducted by the University."
390,"The Centre Wednesday told the Delhi High Court that the decision for COVID-19 vaccination is based on vulnerability of citizens to the disease and is not profession wise and the government is sensitive to the needs of the country. The Centre made the submission in response to a PIL initiated by the high court to examine the demand to declare all people associated with the judicial functioning, including judges, court staff and lawyers, as frontline workers so that they could receive COVID-19 vaccination on priority and without limitations of their age or physical condition.A bench of Justices Vipin Sanghi and Rekha Palli said it hopes that the government is sensitive to the needs of citizens and the country and due to the pandemic courts functioning has also taken a huge hit. Judiciary is an important wing and one of the three pillars of the state. To compare it with others is not correct. Its functioning is getting hampered. Nobody can deny that efficiency of cases has taken a huge hit. Hundreds and thousands of people congregate here daily and everyday different people are coming. Risk of exposure is there, the bench said."
391,"Xiaomi has refreshed its Mi 10 series with the new Mi 10s that packs the Qualcomm Snapdragon 870 processor. The Snapdragon 870 was first announced in January 2021 which is essentially a clocked-up version of the Snapdragon 865 Plus processor from last year. The latest Mi 10S packs a 108-megapixel primary rear camera and a 4,780mAh battery with support for 33W wired, 30W wireless, and 10W reverse wireless charging. It is currently available in China and global launch details remain unclear at the moment.The Xiaomi Mi 10S price in China starts at CNY 3,299 (approx Rs 37,000) for the base model with 8GB RAM + 128GB storage and the 8GB RAM + 256GB option costs CNY 3,499 (approx Rs 39,200). The top-of-the-line 12GB RAM + 256GB variant costs CNY 3,799 (approx Rs 42,600). The smartphone comes in Black, Blue, and White colour options. Notably, Xiaomi is having a standard edition that does not include a charger in the box and a Package Edition carries a 33W charger. There’s no difference in the cost of standard or Package edition."
392,"While Meghan Markel’s revelations into the British Royal family has once again triggered the debate of race in UK, a historian from India has claimed that Meghan is probably not the first woman of colour to be a part of the monarch family. While there is mention of Queen Charlotte’s (1744-1818) black ancestry, Queen Voctoria had her imperial godchildren too, according to the Victorian historian.  Dr Priya Atwal took to Twitter amid raging debate about Meghan’s acceptance in the Royal family and spoke about the little-known life of Princess Gouramma of Coorg.  “Princess Gouramma (1841-64) was brought to Britain in 1852 by her father, the deposed Rajah of Coorg. The Rajah campaigned to win back his family wealth from the East India Company, but also asked Victoria to adopt his daughter, believing the Queen would give her a good life (sic),” Atwal wrote. It was Princess Gouramma’s father, Rajah of Coorg, who offered her to the Queen after baptising her with the hope that she would be brought up with “aristocratic guardians and secure her a good marriage”. Victoria readily accepted the idea and adopted Princess Gouramma. But princess of Coorg wasn’t the only one. Queen Victoria had several ‘godchildren’ whom she adopted from"
393,"To demonstrate how pervasive video surveillance in today’s age is and the ease with which systems could be broken into, a group of hackers found their way into a massive collection of security-camera data collected by Silicon Valley startup Verkada Inc. They gained access to live feeds of 1,50,000 surveillance cameras inside hospitals, companies like Tesla automakers, police departments, prisons, and schools.According to a report by Bloomberg, the data breach was carried out by an international hacker collective on Monday, and one of their hacked videos revealed surveillance footage shot inside a Tesla warehouse in Shanghai. The video shows workers on an assembly line. The report mentions that the hackers said they obtained access to 222 cameras in Tesla factories and warehouses."
394,"The Farhan Akhtar-starrer boxing drama Toofaan is all set to release digitally on May 21. The Rakeysh Omprakash Mehra directorial stars Farhan as a boxer, alongside Mrunal Thakur, Paresh Rawal, Supriya Pathak Kapur and Hussain Dalal. The film will premiere on Amazon Prime Video.On collaborating with Farhan after the success of Bhaag Milkha Bhaag, which released seven years ago, Mehra said he was certain that the actor would be the perfect protagonist for “Toofaan”."
395,"The so called “vaccine passports” should not be used as a requirement for international travel at the present time due to practical and ethical considerations, a senior World Health Organization (WHO) official has said.Addressing a press conference this week, WHO emergencies chief Michael Ryan said that “at the present time the use of certification of vaccination as a requirement for travel is not advised because quite simply vaccination is just not available enough around the world and is not available certainly on an equitable basis.”"
396,"Aamir Khan’s daughter Ira Khan turned into a hairstylist, although a distracted one, for her boyfriend Nupur Shikhare. Taking to Instagram Story, the 24-year-old star kid shared a picture where she was seen holding scissors in one hand and her phone in another.Facing the mirror in the salon chair was Ira’s boyfriend Nupur, who took the mirror selfie capturing the entire scene as he waited for his lady to cut thehair."
397,"Twenty years ago, the southern purple-spotted gudgeon was declared extinct. But now the so-called ‘zombie fish’ has reappeared in Victoria.In 2019, two of these were found in the Middle Reedy Lake in the wetlands of Kerang following which the Southern Purple Spotted Gudgeon Advisory Group was established."
398,"Nine people were killed and as many injured as a private bus fell into a deep gorge in Himachal Pradesh’s Chamba district on Wednesday, Deputy Commissioner D C Rana said.The DC said the accident occurred at Colony Morh in Bhanjraru of Churrah tehsil in the morning when the private bus bearing registration number HP73A 1316 and operated by Happy Bus Service fell into the gorge while going from Bondedi to Chamba."
399,"Pauri Garhwal MP Tirath Singh Rawat has been sworn in as the new chief minister of Uttarakhand after the BJP legislature party chose him as the leader on Wednesday. His name was announced by outgoing chief minister Trivendra Singh Rawat after the legislature party meeting, which lasted for around 30 minutes.Tirath Singh Rawat will be sworn-in as the new chief minister of Uttarakhand in the evening, official sources said. They said preparations have begun at the Raj Bhawan here for the swearing-in ceremony."
400,"Danish qualifier Holger Vitus Nodskov Rune continued to turn heads in Santiago as he fought to his first ATP Tour main draw victory against Sebastian Baez on Monday at the Chile Dove Men+Care Open.The 17-year-old has been on a tear all year-long, reaching three ITF-level finals and winning an ITF 15K trophy to start the season. After qualifying his way into an ATP Tour main draw for the first time earlier in the week, Rune sealed his first victory 6-3, 6-2 in an hour and 19 minutes."
401,"The OTT space is revolutionising the way we enjoy visual entertainment, and it is reorganising a lot of things in Bollywood, too. Among things in Bollywood that seem to be changing is the concept of stardom. Gone are the days when being a star was about big screen glory. In this context, what is currently going on has been unprecedented. Several top Bollywood stars are headed towards OTT as never before. These are not character artistes or budding stars, but established names such as Shahid Kapoor, Sonakshi Sinha, Madhuri Dixit, Raveena Tandon and Juhi Chawla.It is something that Television never managed. At the height of superstardom, even though Amitabh Bachchan, Salman Khan or Shah Rukh Khan have appeared on TV, they came as themselves, and not to essay fictional roles. On OTT, it is the roles that seem to be attracting big Bollywood stars."
402,"Manchester City’s Champions League last-16 second leg against Borussia Moenchengladbach has been switched from the Etihad Stadium to Budapest due to coronavirus travel restrictions, UEFA said on Wednesday.Man City won the first leg which was also held in the Hungarian capital 2-0."
403,"Meghan Markle and Prince Harry’s explosive interview to Oprah Winfrey has rattled the world of the Royals with the Duke and Duchess of Sussex dropping one truth bomb after another about the British royal family. With Queen Elizabeth II at the helm of the British monarchy, the royal family has been in news for a number of controversies in the past century. But perhaps the darkest portions of royal history in Britain have to do with racism. The murky details revealed by Meghan and Harry on the CBS interview about royal concerns regarding their baby Archie’s skin colour and the palace’s attitude to Meghan herself who is part African-American have once again shed light on the history of racism and colonialism among the royals.While the claims have shocked the world and the Queen has herself responded to the comments, the British royals have long fielded (read dismissed or ignored) allegations about racism and colonialism within the family. And some of it dates back centuries."
404,"Television personality Khloe Kardashian says the Covid-19 forced her to postpone her plans of having more babies. She adds that she has always wanted to avoid a big age gap between kids but everything has been delayed thanks to the pandemic.Khloe says she and her partner Tristan Thompson actually made embryos and stored them, but it was tough to get fertility assistance during the pandemic."
405,"Asus has launched its next-generation Asus ROG Phone 5 gaming smartphone series that includes the vanilla ROG Phone 5, Asus ROG Phone 5 Pro, and the ROG Phone 5 Ultimate. All three models feature the same specifications, though they differ in terms of RAM configuration and onboard storage. The Asus ROG Phone 5 series also packs the flagship Qualcomm Snapdragon 888 SoC and 144Hz display. Asus claims that the latest ROG device is the first to feature 18GB of RAM; however, its competitor Nubia recently launched the Red Magic 6 Transparent Edition that also packs the same RAM configuration.The vanilla Asus ROG Phone 5 comes in  India in two options of 8GB RAM + 128GB and 12GB RAM + 256GB storage for Rs 49,999 and Rs 57,999 respectively. The phone will go on sale via Flipkart and other partner channels on April 15 at 12 PM (noon) IST. The Asus ROG Phone 5 Pro that packs 16GB RAM and 512GB storage costs Rs 69,999, and the Asus ROG Phone Ultimate with 18GB RAM + 512GB storage carries a price tag of RS 79,999. The availability details of the pro and ultimate editions remain unclear."
406,"It will soon be a year since the nationwide lockdown was imposed and while the pandemic disrupted the discourse of jobs and hiring all through 2020, a few upticks across different sectors indicate that we may be on the road to recovery.A Monster.com report on the employment Index for the month of February has shown a growth of 6% in job posting activity. And even though this is a significant drop of 15% when compared on a year-on-year basis, it goes on to show that the jobs market is not completely in the doldrums. Cities like Ahmedabad  have shown a 17% increase whereas Bengaluru has shown an overall  growth of 10% compared to January 2021."
407,"A shocking incident was filmed on camera in southern Brazil when a motorcyclist was clinging onto the side of a speeding lorry for almost 19 miles (30 kilometres) that crashed his motorcycle killing his wife. 49-year-old Anderson Antonio Pereira and his wife Sandra, 47, were enjoying a Sunday drive on his motorcycle when the lorry rammed his bike from behind on the BR-101 motorway in the northern coast of Santa Catarina in municipality of Pehna on Sunday.Unfortunately, his wife succumbed to the accident after sustaining severe injuries."
408,"British television personality Piers Morgan exited the “Good Morning Britain” TV show following a confrontation with colleague Alex Beresford, owing to Morgans comments about Prince Harry and Meghan Markles interview with Oprah Winfrey.“Following discussions with ITV, Piers Morgan has decided now is the time to leave ‘Good Morning Britain’. ITV has accepted this decision and has nothing further to add,” the network said in a statement, as quoted by People magazine."
409,"‘No Democracy Left’: Kerala Congress Leader PC Chacko Sends Resignation to Sonia GandhiKerala Congress leader PC Chacko has lashed out at the party leaders on Wednesday, sending his resignation letter to Sonia Gandhi, and saying that it had become difficult to be a Congress leader in Kerala. This comes even as the party has been finalising its list in Kerala that goes to polls on April 6. READ MORE"
